"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"01-APR-2026","RPSGVENT","RPSG VENTURES LIMITED","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","7,51,240","918.64","-"
"01-APR-2026","RPSGVENT","RPSG VENTURES LIMITED","QE SECURITIES LLP","BUY","2,52,032","895.63","-"
"01-APR-2026","RPSGVENT","RPSG VENTURES LIMITED","QE SECURITIES LLP","SELL","2,65,491","898.86","-"
"01-APR-2026","SAMMAANCAP","Sammaan Capital Limited","GRAVITON RESEARCH CAPITAL LLP","SELL","48,42,908","151.90","-"
"01-APR-2026","SAMMAANCAP","Sammaan Capital Limited","GRAVITON RESEARCH CAPITAL LLP","BUY","48,42,951","151.82","-"
"01-APR-2026","SANGINITA","Sanginita Chemicals Limit","NEO APEX SHARE BROKING SERVICES LLP","BUY","2,00,000","19.13","-"
"01-APR-2026","SILGO","Silgo Retail Limited","GOLDENDUNES BUILDERS AND DEVELOPERS PRIVATE LIMITED","BUY","1,98,100","74.82","-"
"01-APR-2026","SILGOPP","SILGO Rs.5 ppd up","DIPAKKUMAR BABALBHAI PATEL","SELL","42,700","30.08","-"
"01-APR-2026","SILGOPP","SILGO Rs.5 ppd up","KAILASHBEN ASHOKKUMAR PATEL","BUY","42,698","30.08","-"
"01-APR-2026","TIL-RE1","TIL Ltd","LIFE INSURANCE CORPORATION OF INDIA","SELL","66,651","2.80","-"
"01-APR-2026","WEL","Wonder Electricals Ltd","IRAGE BROKING SERVICES LLP","BUY","10,79,154","91.83","-"
"01-APR-2026","WEL","Wonder Electricals Ltd","IRAGE BROKING SERVICES LLP","SELL","10,83,530","88.97","-"
"01-APR-2026","WEL","Wonder Electricals Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","14,71,529","91.39","-"
"01-APR-2026","WEL","Wonder Electricals Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","14,82,893","91.29","-"
"01-APR-2026","WEL","Wonder Electricals Ltd","NEXUS GLOBAL OPPORTUNITIES FUND","BUY","2,00,000","82.63","-"
"01-APR-2026","WEL","Wonder Electricals Ltd","NEXUS GLOBAL OPPORTUNITIES FUND","SELL","9,84,409","96.68","-"
"01-APR-2026","WEL","Wonder Electricals Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","22,50,175","89.94","-"
"01-APR-2026","WEL","Wonder Electricals Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","22,50,175","89.85","-"
"01-APR-2026","WEL","Wonder Electricals Ltd","PACE STOCK BROKING SERVICES PVT LTD","SELL","8,32,040","91.49","-"
"01-APR-2026","WEL","Wonder Electricals Ltd","PACE STOCK BROKING SERVICES PVT LTD","BUY","8,32,040","91.79","-"
"01-APR-2026","WEL","Wonder Electricals Ltd","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","BUY","16,41,438","92.46","-"
"01-APR-2026","WEL","Wonder Electricals Ltd","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","SELL","16,41,438","92.57","-"
